"Winner","DowJonesSimpleReturn","DowJonesUpDown","DowJonesCorrect"
"1967","National",0.15199378889893,"Up","correct"
"1968","National",0.0426909436422092,"Up","correct"
"1969","American",-0.15193642384106,"Down","correct"
"1970","American",0.0481783197561096,"Up","wrong"
"1971","American",0.0611262098889049,"Up","wrong"
"1972","National",0.145832397214109,"Up","correct"
"1973","American",-0.165839885492441,"Down","correct"
"1974","American",-0.275744540817526,"Down","correct"
"1975","American",0.383243541477347,"Up","wrong"
"1976","American",0.178599500240495,"Up","wrong"
"1977","American",-0.172677051709551,"Down","correct"
"1978","National",-0.0314737057401012,"Down","wrong"
"1979","American",0.041900100619868,"Up","wrong"
"1980","American",0.149331139566493,"Up","wrong"
"1981","American",-0.0923142356248509,"Down","correct"
"1982","National",0.196045714285714,"Up","correct"
"1983","National",0.202667838783038,"Up","correct"
"1984","American",-0.0373975084217887,"Down","correct"
"1985","National",0.276583276244873,"Up","correct"
"1986","National",0.225827099510561,"Up","correct"
"1987","National",0.0226166301853952,"Up","correct"
"1988","National",0.118494143375129,"Up","correct"
"1989","National",0.26959240421107,"Up","correct"
"1990","National",-0.0434185674851082,"Down","wrong"
"1991","National",0.203203906350858,"Up","correct"
"1992","National",0.0417441137580747,"Up","correct"
"1993","National",0.137220510676712,"Up","correct"
"1994","National",0.0214033227759589,"Up","correct"
"1995","National",0.334515600713533,"Up","correct"
"1996","National",0.26013656119067,"Up","correct"
"1997","National",0.226414216526293,"Up","correct"
"1998","American",0.160993898776594,"Up","wrong"
"1999","American",0.252214524317018,"Up","wrong"
"2000","National",-0.0616789248089957,"Down","wrong"
"2001","National",-0.0710438181718744,"Down","wrong"
"2002","American",-0.167632416876797,"Down","correct"
"2003","National",0.253222691488354,"Up","correct"
"2004","American",0.0314800572416853,"Up","wrong"
"2005","American",-0.00607529808467211,"Down","correct"
"2006","American",0.162878469792396,"Up","wrong"
"2007","American",0.0643232248669077,"Up","wrong"
"2008","National",-0.338370969225365,"Down","wrong"
"2009","American",0.188193551107004,"Up","wrong"
"2010","National",0.11022770316598,"Up","correct"
"2011","National",0.0552839081978767,"Up","correct"
